Course Name,Timestamp,Rating,Comment
Decision Making with Problem Solving & Critical Thinking,2023-12-11 12:58:10+00:00,5,Insightful topic.
Decision Making with Problem Solving & Critical Thinking,2023-12-12 12:59:26+00:00,4.5,Thanks for the good course.
Forecasting Models and Time Series for Business in Python,2023-12-13 06:30:38+00:00,5,Good
Forecasting Models and Time Series for Business in Python,2023-12-14 14:48:11+00:00,5,A very good introduction course. Recommended.
Business Data Analytics & Intelligence with Python,2023-12-14 17:26:04+00:00,5,very good
Data Literacy and Business Analytics for Business Leaders,2023-12-15 15:26:14+00:00,5,"diogo combines humour with visuals, thought provoking thought experiments, and clear conceptual explanations. from someone who used to be intimidated by data analytics, his course has gotten me really interested and i can't wait to learn more!"
Forecasting Models and Time Series for Business in Python,2023-12-16 19:54:06+00:00,2,"The teacher seems nice, but I think this course has major issues that should be addressed: 1. He's not a very good Python programmer. It is visible he carries a lot of bad practices from R, doesn't know PEP8, and doesn't have advanced programming skills (he repeats a lot of code instead of using functions or classes). 2. He's not a very good ML practitioner, either. His models have poor performance (the best forecasting model has +30% MAPE... and he chose that example data...), and he doesn't know very well how to address the poor performance. Most of the times he just acts like there's nothing to be done. For example, his Prophet+XGBoost model performs worse than the Prophet model by itself, and this is not addressed in the lesson. Why?"
Data Mining for Business Analytics & Data Analysis in Python,2023-12-19 15:59:58+00:00,5,"The course provided a comprehensive overview of the subject matter, covering key concepts in a well-structured manner. The instructor's engaging teaching style, coupled with diverse resources like interactive lectures and practical assignments, made the learning experience enjoyable. However, clearer communication regarding assignment deadlines could enhance the experience. The availability of supplementary materials was beneficial for deeper understanding. Overall, while there are areas for improvement, the course offered valuable insights and knowledge that I would recommend to others seeking a solid foundation in this field."
Decision Making with Problem Solving & Critical Thinking,2023-12-19 19:51:54+00:00,2.5,"regarding the exercise I hoped to be more clear , and giving real life examples ."
Forecasting Models and Time Series for Business in Python,2023-12-27 06:38:47+00:00,1,More irrelevant at the beginning of the course. We dont have time to waste just like that
Econometrics and Statistics for Business in R & Python,2023-12-29 05:10:29+00:00,4,So far so good!
Data Literacy and Business Analytics for Business Leaders,2023-12-30 13:22:28+00:00,5,Enriching & valuable information is being provided in a simplistic manner
Data Mining for Business Analytics & Data Analysis in Python,2023-12-31 05:04:16+00:00,4,Good Course
Forecasting Models and Time Series for Business in Python,2023-12-31 17:02:36+00:00,5,Excellent course. I will use this as a reference and come back.
Forecasting Models and Time Series for Business in Python,2024-01-04 13:40:03+00:00,4,well explained with relevant assignments
Decision Making with Problem Solving & Critical Thinking,2024-01-08 14:41:28+00:00,4,GOOD
